Title,Price sale,Price origin,url,CPU type,RAM type,Number of RAM slots,Material,Security,Manufacturer,Panel material,Screen size,Screen resolution,Operating system,Brand,Storage,Ram,CPU
Laptop HP Elitebook 640 G9,21213181,21213181,https://cellphones.com.vn/laptop-hp-elitebook-640-g9.html,"Intel Core i7 1255U (2.1 GHz, up to 4.7 GHz, 10 nhân/ 12 luồng, 12MB Cache)",DDR4,2 Thanh RAM hỗ trợ tối đa lên 32GB,Vỏ kim loại,Bảo vật vân tay,HP,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,16,i7
Laptop MSI Cyborg 15 A12UDX-621VN,21213181,21213181,https://cellphones.com.vn/laptop-msi-cyborg-15-a12udx-621vn.html,"Intel Core i5-12450H (3.3GHz, up to 4.4GHz, 8 lõi / 12 luồng, 12MB Cache)",DDR5 4800MHz,2 khe,,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,MSI,512.0,8,i5
Laptop Acer Travelmate B3 TMB311-31-C2HB N20H1_NX.VNFSV.006,21213181,21213181,https://cellphones.com.vn/laptop-acer-travelmate-b3-tmb311-31-c2hb-n20h1-nxvnfsv-006.html,Intel Celeron N4020,DDR4,,Vỏ nhựa,Mật khẩu,,Tấm nền TFT,11.6,1366 x 768 pixels,Windows 11,Acer,128.0,4,
Laptop Acer Predator Triton 500 SE PT516-51S-71RW,21213181,21213181,https://cellphones.com.vn/laptop-acer-predator-triton-500-se-pt516-51s-71rw.html,Intel Core i7-11800H 2.3GHz up to 4.6GHz 24MB,"DDR4 3200MHz, 2 khe cắm tối đa 64GB",,,,,Tấm nền IPS,16,2560 x 1600 pixels (2K),Windows 11,Acer,1024.0,64,i7
Laptop Lenovo IdeaPad Flex 5 14IAU7 82R700JQVN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-ideapad-flex-5-14iau7-82r700jqvn.html,"Intel Core i3-1215U (6C (2P + 4E) / 8T, P-core 1.2 / 4.4GHz, E-core 0.9 / 3.3GHz, 10MB)",LPDDR4x-4266 Onboard,,Vỏ kim loại,Firmware TPM 2.0Bảo mật vân tay,,Tấm nền IPS,14,2240 x 1400 pixels,Windows 11,Lenovo,512.0,8,i3
Laptop Lenovo Thinkpad T14,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkpad-t14.html,"Intel Core i5 10310U (4 lõi / 8 luồng, 1.7GHz up to 4.4GHz, 6MB)",DDR4 2666MHz,Nâng cấp tối đa 40GB,,,,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,256.0,8,i5
Laptop Asus Gaming FX505DY-AL175T,21213181,21213181,https://cellphones.com.vn/laptop-asus-gaming-fx505dy-al175t.html,AMD Ryzen 5 3550H 2.1GHz up to 3.7GHz 4MB,DDR4 2666MHz,,Vỏ nhựa,,ASUS,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Asus,1024.0,8,Ryzen 5
Laptop Asus TUF Gaming FX516PM HN023T,21213181,21213181,https://cellphones.com.vn/laptop-asus-tuf-gaming-fx516pm-hn023t.html,Intel Core i7 Tiger Lake - 11370H 4 nhân 8 luồng,DDR4 2 khe (8GB onboard+ 1 khe 8GB),,Vỏ nhựa,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Asus,512.0,16,i7
Laptop MSI Prestige 13 EVO A13M-081VN,21213181,21213181,https://cellphones.com.vn/laptop-msi-prestige-13-evo-a13m-081vn.html,"Intel core i7-1360P  (up to 5.0 GHz, 12 lõi / 16 luồng, 18 MB)",DDR5 4800MHz,1 thanh RAM,,FaceID(tuỳ phiên bản),,Tấm nền IPS,13.3,1920 x 1200 pixels (FullHD+),Windows 11,MSI,1024.0,16,
iMac M3 24 inch 8GB 256GB 10 GPU | Chính hãng Apple Việt Nam,21213181,21213181,https://cellphones.com.vn/imac-m3-2023-24-inch-8gb-256gb-10gpu.html,Apple M3 8 lõi với 4 lõi hiệu năng và 4 lõi tiết kiệm điệnNeural Engine 16 lõi,,,,,,,24,4480 x 2520 (4.5K),Mac,Mac,256.0,8,M3
Laptop Lenovo Ideapad 5 Pro 16ARH7,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-16arh7-82sn003lvn.html,AMD Ryzen 5 6600HS Creator Edition,LPDDR5-6400,,Vỏ kim loại,,Lenovo,Tấm nền IPS,16,2560 x 1600 (WQXGA),Windows 11,Lenovo,512.0,16,Ryzen 5
Laptop Lenovo Ideapad 5 15IIL05 81YK004WVN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-ideapad-5-15iil05-81yk004wvn.html,Intel Core i5 Ice Lake - 1035G1,DDR4 3200 MHz,,Vỏ nhựa,Bảo mật vân tayCông tắc khóa camera,Lenovo,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,256.0,8,i5
Laptop Lenovo Gaming Legion 5 15IMH05 82AU00G9VN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-gaming-legion-5-15imh05-82au00g9vn.html,"Intel Core i7-10750H (2.6 GHz - 5.0 GHz / 12MB / 6 nhân, 12 luồng)", DDR4 3200MHz,"2 Khe cắm, hỗ trợ tối đa 32GB",,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,512.0,8,i7
Laptop gaming MSI Thin A15 B7UCX 020VN,21213181,21213181,https://cellphones.com.vn/laptop-msi-gaming-thin-a15-b7ucx-020vn.html,"Ryzen 5 7535HS (3.3GHz up to 4.55GHz, 6 cores 12 threads, 16MB cache)",DDR5,2 khe,,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,gaming,512.0,8,
Laptop Asus Vivobook 15X OLED M3504YA-L1268W,21213181,21213181,https://cellphones.com.vn/laptop-asus-vivobook-15x-oled-m3504ya-l1268w.html,"AMD Ryzen 5 7530U (6 lõi / 12 luồng, 16MB cache, up to 4.3 GHz max boost)",DDR4,2 khe (8GB DDR4 Onboard + 8GB DDR4 SO-DIMM),Vỏ nhựa,McAfee LiveSafe 30 ngày dùng thử miễn phí McAfee LiveSafe Khởi động BIOS Bảo vệ mật khẩu người dùng Mật khẩu người dùng thiết lập BIOS Mô-đun nền tảng đáng tin cậy (Firmware TPM),,Tấm nền Oled,15.6,1920 x 1080 pixels (FullHD),Windows 11,Asus,512.0,16,Ryzen 5
Laptop Dell G7 15 7500,21213181,21213181,https://cellphones.com.vn/laptop-dell-g7-15-7500.html,Intel Core i7 10750H,DDR4,,Vỏ kim loại,Mở khóa vân tayMật khẩu,Dell,Tấm nền WVA,15.6,1920 x 1080 pixels (FullHD),Windows 11,Dell,512.0,8,i7
Laptop Dell Latitude E5570,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-e5570.html,Intel Core i7-6820HQ,,,,,,,15.6,1920 x 1080 pixels (FullHD),Windows 11,Dell,512.0,16,i7
Laptop Dell Latitude 5400,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-5400.html,Intel Core i5 - 8365U (1.6GHz upto  4.40GHz),,2 Thanh RAM hỗ trợ tối đa 32GB,,,Dell,,14,1920 x 1080 pixels (FullHD),Windows 11,Dell,256.0,8,i5
Laptop Dell Latitude E7440,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-e7440.html,"Intel Core i5-4300U (1.90 GHz,  Turbo Boost 2.9 GHz)",DDR3L 1600 MHz,2 khe RAM (Nâng cấp tối đa 16 GB),Vỏ nhựa,,,,14,1366 x 768 pixels,Windows 11,Dell,128.0,8,i5
Laptop Dell Latitude 7280,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-7280.html,Intel Core i5 - 6200U,,,,,Dell,,12.5,1920 x 1080 pixels (FullHD),Windows 11,Dell,240.0,8,i5
Laptop Dell Latitude E6440,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-e6440.html,"Intel Core i5-4300M 2.6GHz (3M Cache, up to 3.3 GHz) ",DDR3L 1600Mhz,,,,Dell,,14.1,1366 x 768 pixels,Windows 11,Dell,128.0,4,i5
Laptop Dell Latitude E6420,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-e6420.html,"Intel Core i5 2520M, 2.5GHz",DDR3 SDRAM ‎2.5 GHz,,,,,,14,,Windows 11,Dell,512.0,4,i5
Laptop Fujitsu CH 9C13A1,21213181,21213181,https://cellphones.com.vn/laptop-fujitsu-ch-9c13a1.html,Intel Core I5 -1135G7,"8 GB, LPDDR4X, 4266 MHz",,Vỏ nhựa,Mở khóa khuôn mặt  Mật khẩu,,Tấm nền IPS,13.3,1920 x 1080 pixels (FullHD),Windows 11,Fujitsu,512.0,8,i5
Apple Mac Studio M1 Max 10 CPU - 24 GPU 32GB 512GB 2022 Chính Hãng (MJMV3),21213181,21213181,https://cellphones.com.vn/apple-mac-studio-m1-max-10cpu-24gpu-32gb-512gb-2022-48839.html,Apple M1 Max CPU 10-core,,,,,,,14,,Mac,Mac,512.0,32,M1
Laptop HP 250 G8 518U0PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-250-g8-518u0pa.html,Intel Core i3-1005G1,DDR4,2 khe,,,,,15.6,1920 x 1080 pixels (FullHD),Windows 11,HP,256.0,4,i3
Laptop HP 340S G7 224L0PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-340s-g7-224l0pa.html,Intel Core i3-1005G1,DDR4,2 khe,,,HP,Tấm nền TN,14,1366 x 768 pixels,Windows 11,HP,512.0,4,i3
Laptop HP 240 G9 6L1X3,21213181,21213181,https://cellphones.com.vn/laptop-hp-240-g9-6l1x3pa.html,"Intel Core i3-1215U ( 1.2 GHz - 4.4 GHz / 10MB / 6 nhân, 8 luồng )",DDR4 3200MHz,1 khe 8GB + 1 khe trống,,,,Tấm nền IPS,14,1080 x 1920 pixels (FullHD),Windows 11,HP,,8,i3
Laptop HP Probook 4540s,21213181,21213181,https://cellphones.com.vn/laptop-hp-probook-4540s.html,"Intel Core i5-2400M (2.5 GHz, up to 3.1 GHz, 2 lõi / 4 luồng, 3 MB)",DDR3-SDRAM 1333 MHz,2 khe SO-DIMM,,,,,15.6,1366 x 768 pixels,Windows 11,HP,500.0,4,i5
Laptop HP Probook 450 G2,21213181,21213181,https://cellphones.com.vn/laptop-hp-probook-450-g2.html,"Intel Core i5 - 5200U (2.20 GHz, up to 2.70 GHz, 3 MB Cache)",SDRAM DDR3 1600 MHz,,,,,,15.6,1366 x 768 pixels,Windows 11,HP,500.0,4,i5
Laptop HP Probook 4530S,21213181,21213181,https://cellphones.com.vn/laptop-hp-probook-4530s.html,Intel Core i5-2520M Sandy Bridge (2.50 GHz đến 3.20 GHz),,,,,,,15.6,,Windows 11,HP,128.0,4,i5
Laptop HP Elitebook 840 G5,21213181,21213181,https://cellphones.com.vn/laptop-hp-elitebook-840-g5.html,Intel Core i5 - 8350U,DDR4 (có hỗ trợ nâng cấp),,,,,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,HP,256.0,8,i5
Laptop HP Elitebook 840 G3,21213181,21213181,https://cellphones.com.vn/laptop-hp-elitebook-840-g3.html,Intel Core i5 - 6300U vPro 2.4Ghz up  3.0Ghz/ 3M,DDR4 2133Mhz,2 khe (Hỗ trợ nâng cấp đến 16GB),,,,,14,1920 x 1080 pixels (FullHD),Windows 11,HP,256.0,8,i5
Laptop HP 250 G8 518U0PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-250-g8-518u0pa.html,Intel Core i3-1005G1,DDR4,2 khe,,,,,15.6,1920 x 1080 pixels (FullHD),Windows 11,HP,256.0,4,i3
Laptop HP 340S G7 224L0PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-340s-g7-224l0pa.html,Intel Core i3-1005G1,DDR4,2 khe,,,HP,Tấm nền TN,14,1366 x 768 pixels,Windows 11,HP,512.0,4,i3
Laptop HP 15S-DU3591TU,21213181,21213181,https://cellphones.com.vn/laptop-hp-15s-du3591tu.html,Intel Core i5 Tiger Lake - 1135G7,DDR4 ,2,Vỏ nhựa,,HP,,15.6,1366 x 768 pixels,Windows 11,HP,512.0,8,i5
Laptop HP 15S FQ1107TU,21213181,21213181,https://cellphones.com.vn/laptop-hp-15s-fq1107tu.html,Intel Core i3 - 	1005G1,DDR4,,Vỏ nhựa,,HP,,15.6,1366 x 768 pixels,Windows 11,HP,256.0,4,i3
Laptop HP 240 G8 46J53PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-240-g8-46j53pa.html,Intel Core i3 - 1005G1,DDR4,,Vỏ nhựa,Mật khẩu,HP,Tấm nền IPS,14,1366 x 768 pixels,Windows 11,HP,512.0,8,i3
Laptop HP Pavilion 15-EG0509TU 46M08PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-pavilion-15-eg0509tu-46m08pa.html,Intel Core I3- 1125G4,DDR4,,,Mật khẩu,HP,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,4,i3
Laptop HP 15-AY071TU X3B53PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-15-ay071tu-x3b53pa.html,Intel Pentium - N3710,DDR3L,1 khe,,,,,15.6,1366 x 768 pixels (HD+),Windows 11,HP,500.0,4,
Laptop HP Gaming Victus 16-D1193TX 7C138PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-gaming-victus-16-d1193tx-7c138pa.html,Intel Core i5-12500H (3.3GHz~4.5GHz) 12 lõi / 16 luồng,DDR5 4800MHz (up to 32GB),1x 8GB,,,,Tấm nền IPS,16.1,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,8,i5
Laptop HP Gaming Victus 16-E1104AX 7C0S9PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-gaming-victus-16-e1104ax-7c0s9pa.html,AMD Ryzen 7 6800H (3.2GHz~4.7GHz) 8 lõi / 16 luồng,DDR5 4800MHz (up to 32GB),,,,,Tấm nền IPS,16.1,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,8,Ryzen 7
Laptop MSI Cyborg 15 A12UC-621VN,21213181,21213181,https://cellphones.com.vn/laptop-msi-cyborg-15-a12uc-621vn.html,"Intel Core i5-12450H (8 lõi (4P+4E) / 12 luồng, 12MB, P core - 4.40Ghz Turbo, E core - 3.30Ghz Turbo)",DDR5 4800Mhz,2 khe nâng cấp tối đa 64GB,,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,MSI,512.0,8,i5
Laptop Gaming Acer Nitro 5 AN515-45-R6EV NH.QBMSV.006,21213181,21213181,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-45-r6ev-nhqbmsv-006.html, AMD Ryzen 5 - 5600H,"DDR4 3200 MHz, tối đa 32GB",2 khe (1 khe 8 GB + 1 khe rời),Vỏ nhựa,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Gaming,512.0,8,Ryzen 5
Laptop Acer Aspire 3 A315-57G-573F NX.HZRSV.00B,21213181,21213181,https://cellphones.com.vn/laptop-acer-aspire-3-a315-57g-573f.html,Intel Core i5 Ice Lake - 1035G1, DDR4 2400 MHz,DDR4 (On board 4GB + 1 khe 4GB)Hỗ trợ tối đa 20GB,Vỏ nhựa,,,Tấm nền TFT,15.6,1920 x 1080 pixels (FullHD),Windows 11,Acer,1024.0,8,i5
Macbook Pro 16 inch M2 Max 64GB 2023 (12CPU - 38 GPU - 64GB - 1TB),21213181,21213181,https://cellphones.com.vn/macbook-pro-16-inch-m2-max-64gb-2023.html,Apple M2 Max 12 nhân,,Không hỗ trợ nâng cấp,,Bảo mật vân tay ,,,16,3456 x 2234 pixels ,Mac,Mac,1024.0,64,M2
Laptop Lenovo Legion Slim 5 16APH8 82Y9002YVN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-legion-slim-5-16aph8-82y9002yvn.html,"AMD Ryzen 7 7840HS (8 lõi / 16 luồng, 3.8 / 5.1GHz, 8MB L2 / 16MB L3)",SO-DIMM DDR5-5600,2 x 8GB (Có thể tháo ra nâng cấp tối đa 32GB) ,Vỏ kim loại,Firmware TPM 2.0,,Tấm nền IPS,16,2560 x 1600 (WQXGA),Windows 11,Lenovo,1024.0,16,Ryzen 7
Laptop Lenovo Ideapad Slim 3 15IRH8 83EM003EVN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-15irh8-83em003evn.html,"Intel Core i7-13620H (10 lõi (6P + 4E) / 16 luồng, P-core 2.4 / 4.9GHz, E-core 1.8 / 3.6GHz, 24MB)",LPDDR5-4800 Onboard,,Vỏ nhựa,Firmware TPM 2.0Bảo mật vân tay,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,1024.0,16,i7
Laptop ASUS X509JA-EJ020T,21213181,21213181,https://cellphones.com.vn/laptop-asus-x509ja-ej020t.html,Core i5 1035G1,DDR4,,,Bảo mật vân tay,ASUS,,15.6,1920 x 1080 pixels (FullHD),Windows 11,ASUS,1024.0,4,i5
Laptop ASUS X409JA-EK015T,21213181,21213181,https://cellphones.com.vn/laptop-asus-x409ja-ek015t.html,Intel Core i3 Ice Lake - 1005G1,"DDR4 2666 MHz, nâng cấp tối đa 12GB",1 khe,Vỏ nhựa,Bảo mật vân tay,ASUS,,14,1920 x 1080 pixels (FullHD),Windows 11,ASUS,512.0,4,i3
Laptop ASUS Gaming ROG Zephyrus G14 GA401QM-211.ZG14,21213181,21213181,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g14-ga401qm-211-zg14.html, Ryzen 9 5900Hs,DDR4 3200MHz,1 khe SO-DIMM,,,,Tấm nền IPS,14,,Windows 11,ASUS,1024.0,16,
Laptop Lenovo Thinkpad X1 Carbon gen 9,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkpad-x1-carbon-gen-9.html,"Intel Core i7-1165G7 (4.70 GHz, 12MB cache), 4 nhân/ 8 luồng",LPDDR4X 4266MHz,,,Trusted Platform Module rời (dTPM) 2.0 Phát hiện sự hiện diện của người dùng bằng camera hồng ngoại Đầu đọc dấu vân tay Smart Power On tích hợp vào nút nguồn Màn che bảo mật webcam Khe khóa Kensington,Lenovo,Tấm nền IPS,14,1920 x 1200 pixels (FullHD+),Windows 11,Lenovo,1024.0,32,i7
Laptop Lenovo ThinkPad E15 20RDS0DU00,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkpad-e15-20rds0du00.html,"Intel® Core™ i7-10510U (1.80GHz upto 4.90GHz, 8MB cache, 4 cores 8 threads)",DDR4 2666MHz ,"1 slots, tối đa 16GB",,,Lenovo,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,512.0,8,i7
Laptop Lenovo Thinkpad T460S,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkpad-t460s.html,"Intel Core i7-6600U (2.60 GHz, 4MB Cache)",DDR4 2133MHz,,,,Lenovo,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,256.0,24,i7
Laptop Lenovo Thinkpad X1 Carbon 7 20R1S01N00,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkpad-x1-carbon7-20r1s01n00.html,"10th Generation Intel  Core I7-10510U Processor with vPro™ (1.80GHz upto 4.90GHz, 8MB, 4 nhân/8 luồng)", LPDDR3 2133MHz,,,,Lenovo,Tấm nền IPS,14,2560 x 1440 pixels,Windows 11,Lenovo,256.0,8,I7
Laptop Lenovo 100E Gen 2 Celeron,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-100e-gen-2-celeron.html,"Intel Celeron N4020 1.1 GHz (Tối đa 2.8 GHz, 2 nhân / 2 luồng, 4 MB Cache)","4 GB, LPDDR4, 2400 MHz",,Vỏ nhựa,Mật khẩu,Lenovo,Tấm nền TN,11.6,1366 x 768 pixels,Windows 11,Lenovo,64.0,4,
Laptop Lenovo Yoga Duet 7 13ITL6 82MA003XVN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-yoga-duet-7-13itl6-82ma003wvn.html,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,DDR4-3200,Không hỗ trợ nâng cấp,Vỏ nhựa,,,Tấm nền IPS,13,2160 x 1350 pixels,Windows 11,Lenovo,512.0,8,i5
Laptop MSI Cyborg 15 A13UC 861VN,21213181,21213181,https://cellphones.com.vn/laptop-msi-cyborg-15-a13uc-861vn.html,Intel Core i5-13420H,DDR5,2 khe,,,,,15.6,1920 x 1080 pixels (FullHD),Windows 11,MSI,512.0,16,i5
Laptop Dell Inspiron 14 5430 20DY31,21213181,21213181,https://cellphones.com.vn/laptop-dell-inspiron-14-5430-20dy31.html,"Intel Core i7-1360P (2.2 GHz - 5.0 GHz, 12MB, 12 nhân / 16 luồng )",LPDDR5 4800MHz Onboard,,,Vân tay,,Tấm nền WVA,14,1920 x 1200 pixels (FullHD+),Windows 11,Dell,1024.0,16,i7
Laptop Dell Inspiron N3501,21213181,21213181,https://cellphones.com.vn/laptop-dell-insprion-3501.html,"Intel Core I3-1125G4, 2 nhân 4 luồng, tối đa 4.10GHz, 6MB bộ nhớ đệm","DDR4 2666MHz, 2 khe cắm, hỗ trợ tối đa 16GB",,,,,Tấm nền IPS,15.6,,Windows 11,Dell,256.0,4,i3
Laptop Dell Inspiron 5515 R1505S,21213181,21213181,https://cellphones.com.vn/laptop-dell-inspiron-5515-r1505s.html,AMD Ryzen 5 5500U,"DDR4, 3200 MHz",2 khe,Vỏ kim loại,Mở khóa vân tayMật khẩu,Dell,Tấm nền WVA,15.6,1920 x 1080 pixels (FullHD),Windows 11,Dell,512.0,8,Ryzen 5
Laptop Dell XPS 13 9370,21213181,21213181,https://cellphones.com.vn/laptop-dell-xps-13-9370.html,"Intel Core i7 8550U, up to 4.0 GHz","8 GB DDR3L (Onboard), 1866 MHz",,Vỏ kim loại,Bảo mật vân tay,,Tấm nền IPS,13.3,1920 x 1080 pixels (FullHD),Windows 11,Dell,256.0,8,i7
Laptop Dell Latitude E6430,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-e6430.html,"Intel Core i5 3320M (3M Cache, up to 3.3 GHz) ",,,,,Dell,,14,,Windows 11,Dell,128.0,4,i5
Laptop Dell XPS 15 7590,21213181,21213181,https://cellphones.com.vn/laptop-dell-xps-15-7590.html,"Intel Core i5 9300H (4 nhân / 8 luồng, 4 GHz)",DDR4 bus 2666MHz (Nâng cấp tối đa 64GB),2 khe,,,,Tấm nền IPS,15,1920 x 1080 pixels (FullHD),Windows 11,Dell,256.0,8,i5
Laptop Dell Vostro 5568,21213181,21213181,https://cellphones.com.vn/laptop-dell-vostro-5568.html, Intel Core i5 Kabylake - 7200U,DDR4 2400 MHz,,Vỏ nhựa,,,,15.6,1366 x 768 pixels,Windows 11,Dell,1024.0,4,i5
Laptop Dell Latitude E7270,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-e7270.html,Intel Core i5-6300U,DDR4,,Vỏ nhựa,Khe khóa bảo mật,,Tấm nền TN,12.5,1366 x 768 pixels,Windows 11,Dell,256.0,8,i5
Laptop ASUS Gaming ROG ZEPHYRUS G16 GU605MI-QR116W,21213181,21213181,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g16-gu605mi-qr116w.html,Intel Core Ultra 9 185H,LPDDR5X ,2 khe,Vỏ kim loại,Tính năng bảo vệ mật khẩu admin BIOS và mật khẩu người dùngTrusted Platform Module (Firmware TPM),ASUS,Tấm nền Oled,16,2560 x 1600 (WQXGA),Windows 11,ASUS,1024.0,32,Ultra Ultra
Laptop ASUS ROG Strix G18 G814JIR-N6007W,21213181,21213181,https://cellphones.com.vn/laptop-asus-rog-strix-g18-g814jir-n6007w.html,Intel® Core™ i9-14900HX,DDR5-5600,2 khe SO-DIMM (Nâng cấp tối đa 32GB),,Bảo vệ mật khẩu Quản trị BIOS và Mật khẩu Người dùngModule Nền tảng Tin cậy (TPM Firmware),ASUS,Tấm nền IPS,18,2560x1600 pixel (QHD+),Windows 11,ASUS,1024.0,32,i9
Laptop Acer Gaming Aspire 7 A715-76-728X,21213181,21213181,https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-76-728x.html,"Intel Core i7 12650H, 3.5 GHz",DDR4,2 khe (Hỗ trợ nâng cấp tối đa 32GB),,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Acer,512.0,16,i7
Laptop Acer Asprie 5 A514-56P-55K5,21213181,21213181,https://cellphones.com.vn/laptop-acer-aspire-5-a514-56p-55k5.html,"Intel Core i5-1335U ( 1.3 GHz - 4.6 GHz / 12MB / 10 nhân, 12 luồng )",LPDDR5 6400MHz,Không hỗ trợ nâng cấp,Vỏ nhựa,,,Tấm nền IPS,14,1200 x 1920 pixels,Windows 11,Acer,512.0,16,i5
Laptop Asus Zenbook 14 ROG Zephyrus G14 GA403UU-QS101W,21213181,21213181,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g14-ga403uu-qs101w.html,"AMD Ryzen™ 9 8945HS Processor 4GHz (24MB Cache, up to 5.2 GHz, 8 cores, 16 Threads)", LPDDR5X,2 khe,Vỏ kim loại,Bảo vệ mật khẩu quản trị viên BIOS và mật khẩu người dùng,ASUS,Tấm nền Oled,14,2880 x 1800 pixels,Windows 11,Asus,1024.0,32,
Laptop Asus ROG Strix G16 G614JVR-N4141W,21213181,21213181,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614jvr-n4141w.html,"Intel Core i9-14900HX (2.2 GHz, 36MB Cache, up to 5.8 GHz, 24 lõi / 32 luồng)",DDR5-5600 SO-DIMM,2 khe,,,,Tấm nền IPS,16,2560 x 1600 pixels (2K),Windows 11,Asus,1024.0,32,i9
