Title,Price sale,Price origin,url,CPU type,RAM type,Number of RAM slots,Material,Security,Manufacturer,Panel material,Screen size,Screen resolution,Operating system,Brand,Storage,Ram,CPU
Laptop Lenovo Thinkpad X1 Carbon gen 5,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkpad-x1-carbon-gen-5.html,"Intel Core i5 6300U (3MB Cache, 2 nhân/4 luồng, 2.4GHz)",LPDDR3 1866MHz,1 khe RAM 8GB,Vỏ kim loại,,Lenovo,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,256.0,8,i5
Laptop Asus Rog Flow X13 GV301QC K6082T,21213181,21213181,https://cellphones.com.vn/laptop-asus-rog-flow-x13-gv301qc-k6082t.html,"AMD Ryzen™ 9 5900HS (8 lõi/16 luồng, Up to 4.6 GHz, 20MB)",16 GB LPDDR4 Onboard,,,,,Tấm nền IPS,13.4,1920 x 1200 pixels (FullHD+),Windows 11,Asus,512.0,16,
Laptop Lenovo Thinkpad X1 Carbon gen 6,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkpad-x1-carbon-gen-6.html,"Intel Core i7 8550U 1.8GHz (4 nhân / 8 lõi, up to 4GHz, 8MB cache)",LPDDR3 2133MHz,1 thanh RAM 16GB,,,Lenovo,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,256.0,16,i7
Laptop Lenovo Thinkpad T480,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkpad-t480.html,Intel Core i7-8650U,DDR4 2400MHz,,,Xác thực trực tuyến nhận dạng nhanh (FIDO)  Đầu đọc dấu vân tay cảm ứng Match-on-chip Camera hồng ngoại (tùy chọn) để nhận dạng khuôn mặt ThinkShutter (Chỉ với 720p HD camera) dTPM 2.0 Khe khóa Kensington,,Tấm nền TN,14,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,1024.0,32,i7
Laptop Lenovo Thinkpad T14 gen 2,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkpad-t14-gen-2.html,"Intel Core i7 1165G7 2.80 GHz (up to 4.70 GHz, 4 nhân/ 8 lòi, 12 MB cache)",DDR4 3200MHz,,,Màn trập bảo mật webcam Bảo vệ quyền riêng tư Trusted Platform Module rời (dTPM) 2.0 Đầu đọc vân tay cảm ứng Khe khóa Kensington,Lenovo,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,1024.0,32,i7
Laptop Dell XPS 13 9350,21213181,21213181,https://cellphones.com.vn/laptop-dell-xps-13-9350.html,"Intel Core i7 - 6500U up to 3.10 GHz, 4 MB cache",8 GB SDRAM DDR3 1600 MHz,,,,,Tấm nền IPS,13.3,3200 x 1800 pixels,Windows 11,Dell,256.0,8,i7
Laptop Gigabyte G5 MF5-52VN353SH,21213181,21213181,https://cellphones.com.vn/laptop-gigabyte-g5-mf5-52vn353sh.html,"Intel Core i5-13500H (18MB Cache, 2.6 GHz up to 4.7 GHz, 12 lõi / 16 luồng)",DDR5 4800MHz,2 khe (Hỗ trợ tối đa 64GB),,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Gigabyte,512.0,16,i5
Laptop Dell XPS 9320,21213181,21213181,https://cellphones.com.vn/laptop-dell-xps-9320.html,"Intel Core i7 Alder Lake - 1260P, 12 lõi / 16 luồng, up to 4.7 GHz, 18 MB cache",16 GB LPDDR5 Onboard 5200 MHz,,Vỏ kim loại,,,Tấm nền OLED/AMOLED,13.4,,Windows 11,Dell,512.0,16,i7
Laptop Dell Inspiron 7425,21213181,21213181,https://cellphones.com.vn/laptop-dell-inspiron-7425.html,"AMD Ryzen 5-5625U (2.30GHz up to 4.30GHz, 16MB Cache)",DDR4 3200MHz,1 thanh RAM 8GB,,Bảo mật vân tay,Dell,Tấm nền IPS,14,1920 x 1200 pixels (FullHD+),Windows 11,Dell,512.0,8,Ryzen 5
Laptop Dell XPS 9510,21213181,21213181,https://cellphones.com.vn/laptop-dell-xps-9510.html,Intel Core i7 11800H (8 nhân / 16 luồng),DDR4 bus 3200MHz (Nâng cấp tối đa 64GB),,Vỏ kim loại,,,Tấm nền OLED/AMOLED,15.6,3456 x 2160 pixels,Windows 11,Dell,1024.0,16,i7
