Title,Price sale,CPU,Ram,Storage,Operating system,Brand,Screen size,discount
Laptop MSI Modern 15 B7M-238VN,11990000.0,ryzen 7,16.0,512.0,Windows 11,msi,15.6,5000000.0
Macbook Pro 16 M3 Pro 36GB - 512GB | Chính hãng Apple Việt Nam,70990000.0,m3,36.0,512.0,Mac,mac,16.2,4000000.0
Laptop MSI Modern 14 C13M-607VN,14490000.0,i7,16.0,512.0,Windows 11,msi,14.0,7000000.0
Laptop Lenovo IdeaPad 3 14ITL6 82H701QVVN,12490000.0,i7,16.0,512.0,Windows 11,lenovo,14.0,5000000.0
Macbook Pro 14 M3 8GB - 1TB | Chính hãng Apple Việt Nam,40990000.0,m3,8.0,1024.0,Mac,mac,14.2,4000000.0
Laptop Gigabyte G5 KF-E3VN313SH,19990000.0,i5,16.0,512.0,Windows 11,gigabyte,15.6,6500000.0
Laptop MSI Modern 14 C13M-609VN,10990000.0,i5,8.0,512.0,Windows 11,msi,14.0,7000000.0
Laptop Gigabyte G5 KF-E3VN333SH,19990000.0,i5,8.0,512.0,Windows 11,gigabyte,15.6,6000000.0
Laptop Lenovo Ideapad Yoga 6 13ALC6 82ND00BDVN,11990000.0,ryzen 7,8.0,512.0,Windows 11,lenovo,13.3,4810000.0
Laptop MSI Cyborg 15 A12VE-412VN,18490000.0,i5,8.0,512.0,Windows 11,msi,15.6,6500000.0
Mac Studio M2 Max 2023 | Chính hãng Apple Việt Nam,52990000.0,m2,32.0,512.0,Mac,mac,14.0,0.0
Laptop LG GRAM 2IN1 14T90R-G.AH55A5,25990000.0,i5,16.0,512.0,Windows 11,lg,14.0,12000000.0
Laptop HP Pavilion 15-EG3093TU 8C5L4PA,15590000.0,i5,16.0,512.0,Windows 11,hp,15.6,5700000.0
Laptop ASUS VivoBook 15X OLED S3504VA-L1227WS,18890000.0,i7,16.0,512.0,Windows 11,asus,15.6,7100000.0
Laptop Gaming MSI GF63 12UCX-841VN,12990000.0,i5,8.0,512.0,Windows 11,gaming,15.6,5000000.0
Laptop HP Pavilion 15-EG2034TX 6K780PA,17090000.0,i7,8.0,512.0,Windows 11,hp,15.6,6310000.0
Mac mini M2 2023 (8 CPU - 10 GPU - 24GB - 256GB) | Chính hãng Apple Việt Nam,22690000.0,m2,24.0,256.0,Mac,mac,14.0,5300000.0
Laptop Asus Vivobook 14X A1403ZA-LY072W,8490000.0,i3,8.0,256.0,Windows 11,asus,14.0,5810000.0
Laptop HP 348 G7 9PH19PA,12990000.0,i7,8.0,512.0,Windows 11,hp,14.0,8200000.0
Laptop Asus TUF Gaming F15 FX507VI-LP088W,35990000.0,i7,16.0,1024.0,Windows 11,asus,15.6,10000000.0
Laptop MSI Modern 15 B7M-098VN,10490000.0,ryzen 7,8.0,512.0,Windows 11,msi,15.6,6000000.0
Mac mini M2 2023 (8 CPU - 10 GPU - 8GB - 512GB) | Chính hãng Apple Việt Nam,17190000.0,m2,8.0,512.0,Mac,mac,14.0,4800000.0
MacBook Air 15 inch M2 2023 8GB 512GB sạc 70W | Chính hãng Apple Việt Nam,2000000.0,m2,8.0,512.0,Mac,mac,15.0,0.0
Laptop LG Gram 2023 16ZD90R-G.AX55A5,27990000.0,i5,16.0,512.0,Windows 11,lg,16.0,12000000.0
Laptop LG Gram 2023 15Z90RT-G.AH55A5,29990000.0,i5,16.0,512.0,Windows 11,lg,15.6,13000000.0
Laptop MSI Modern 14 C12M-241VN,12990000.0,i7,8.0,512.0,Windows 11,msi,14.0,7000000.0
