Title,Price sale,Price origin,Screen,CPU,Ram,Storage,Graphics,Operating system,Weight,Dimensions,Origin,Year,"urlre""",Brand,Name,CPU_Model,CPU_Code,Screen size,Resolution,Panel_Type,Refresh_Rate,Brightness,Product
"Laptop Lenovo Gaming Legion 5 16IRX9 i714650HX/16GB/512GB/16""WQXGA/RTX4060 8GB/Win 11H (No.00906644)",40990000.0,41990000.0,"16 inch, 2560 x 1600 Pixels, IPS, 165, 350 nits, IPS LCD",i7,16,512.0,NVIDIA GeForce RTX 4060 8GB,Windows 11,2.3,359.7 x262.3 x19.7-25.2 mm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-legion-5-16irx9-i7-14650hx,Lenovo,Lenovo Gaming Legion 5 16IRX9 i714650HX,Core i7,14650HX,16,2560 x 1600 Pixels,IPS,165,350 nits,Legion 5 16IRX9 i714650HX
"Laptop MSI Gaming Sword 16 HX B14VEKG-039VN i7-14700HX/16GB/1TB/16""FHD+/RTX4050_6GB/Win11_Balo (No.00907724)",34990000.0,34990000.0,"16 inch, 1920 x 1200 Pixels, IPS, 144, 400 nits, FHD+",i7,16,1024.0,NVIDIA GeForce RTX 4050 6GB,Windows 11,2.3,359 x 266.4 x 21.8-27.7 mm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-sword-16-hx-b14vekg-039vn-i7-14700hx,MSI,MSI Gaming Sword 16 HX B14VEKG-039VN i7-14700HX,Core i7,14700HX,16,1920 x 1200 Pixels,IPS,144,400 nits,Sword 16 HX B14VEKG-039VN i7-14700HX
"Laptop Asus TUF Gaming FA507NU-LP140W R5 7535HS/8GB/512GB/15.6""/Nvidia RTX 4050 6GB/Win11 (No.00904947)",28490000.0,28490000.0,"15.6 inch, FHD (1920 x 1080), IPS, 144 Hz, FHD",Ryzen 5,8,512.0,NVIDIA GeForce RTX 4050 6GB GDDR6,Windows 11,2.2,35.97 x 23.25 x 1.79 ~ 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fa507nu-lp140w-r5-7535hs,Asus,Asus TUF Gaming FA507NU-LP140W R5 7535HS,Ryzen 5,7535HS,15.6,FHD (1920 x 1080),IPS,144,FHD,Gaming FA507NU-LP140W R5 7535HS
"Laptop Lenovo ThinkBook 14s Yoga ITL i7 1165G7/16GB/512GB/14"" FHD IPS Touch/Bút/Win 11 (No.00821069)",,,"14.0 inch, 1920 x 1080 Pixels, IPS, 300 nits, IPS",i7,16,512.0,Intel Iris Xe Graphics,Windows 11,1.5,320 x 216 x 16.9 mm,Trung Quốc,,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-14s-yoga-itl-i7-1165g7,Lenovo,Lenovo ThinkBook 14s Yoga ITL i7 1165G7,Core i7,1165G7,14.0,1920 x 1080 Pixels,IPS,300,IPS,14s Yoga ITL i7 1165G7
"Laptop Lenovo IdeaPad Slim 5 14IMH9 U7-155H/32GB/1TB/14""WUXGA/OLED/Win11 (No.00907726)",27990000.0,27990000.0,"14 inch, 1920 x 1200 Pixels, OLED, 60, 400 nits, OLED",Core Ultra 7,32,1024.0,Intel Arc Graphics,Windows 11,1.4,312 x 221 x 16.9 mm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-5-14imh9-u7-155h,Lenovo,Lenovo IdeaPad Slim 5 14IMH9 U7-155H,Core Ultra 7,155H,14,1920 x 1200 Pixels,OLED,60,400 nits,Slim 5 14IMH9 U7-155H
Laptop Asus Vivobook 14 X1404ZA-NK389W i7 1255U/16GB/512GB/14'' FHD/Win11 (No.00907525),28990000.0,28990000.0,"14 inch, 1920 x 1080 Pixels, IPS, 60, FHD",i7,16,512.0,Intel Iris Xe Graphics,Windows 11,1.4,32.49 x 21.39 x 1.79 ~ 1.79 cm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-14-x1404za-nk389w-i7-1255u,Asus,Asus Vivobook 14 X1404ZA-NK389W i7 1255U,Core i7,1255U,14,1920 x 1080 Pixels,IPS,60,FHD,14 X1404ZA-NK389W i7 1255U
"Laptop Lenovo ThinkBook 14p G3 ARH R5-6600H/16GB/512GB/14.0""2.2K/Win 11 (No.00850262)",26890000.0,26890000.0,"1.4 inch, 1080 x 2240 Pixels, IPS, 60 Hz, 300 nits, IPS",Ryzen 5,16,512.0,AMD Radeon Graphics,Windows 11,1.4,"312 x 216 x 14,7 mm",Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-14p-g3-arh-r5-6600h,Lenovo,Lenovo ThinkBook 14p G3 ARH R5-6600H,Ryzen 5,6600H,1.4,1080 x 2240 Pixels,IPS,60,300 nits,14p G3 ARH R5-6600H
"Laptop Asus Vivobook S15 S5406MA-PP136W Ultra 5 125H/AI/16GB/1TB/14"" OLED 3K/Intel Arc Graphics/Win11 (No.00907392)",26990000.0,26990000.0,"14 inch, 2880 x 1800 Pixels Màn hình chính:, OLED, 120, OLED",Core Ultra 5,16,1024.0,Intel Arc Graphics,Windows 11,1.3,31.05 x 22.19 x 1.39 ~ 1.59 cm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s15-s5406ma-pp136w-ultra-5-125h,Asus,Asus Vivobook S15 S5406MA-PP136W Ultra 5 125H,Core Ultra 5,125H,14,2880 x 1800 Pixels Màn hình chính:,OLED,120,OLED,S15 S5406MA-PP136W Ultra 5 125H
"Laptop Asus Vivobook S15 S5406MA-PP161W Ultra 5 125H/AI/16GB/1TB/14"" OLED 3K/Intel Arc Graphics/Win11 (No.00907393)",26990000.0,26990000.0,"14 inch, 2880 x 1800 Pixels Màn hình chính:, OLED, 120, OLED",Core Ultra 5,16,1024.0,Intel Arc Graphics,Windows 11,1.3,31.05 x 22.19 x 1.39 ~ 1.59 cm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s15-s5406ma-pp161w-ultra-5-125h,Asus,Asus Vivobook S15 S5406MA-PP161W Ultra 5 125H,Core Ultra 5,125H,14,2880 x 1800 Pixels Màn hình chính:,OLED,120,OLED,S15 S5406MA-PP161W Ultra 5 125H
Laptop HP Pavilion X360 14-ek1047TU i7 1355U/16GB/512GB/14''FHD Touch/Win11 (No.00907388),25290000.0,27290000.0,"14 inch, 1920 x 1080 Pixels, IPS, 0, IPS, edge-to-edge glass, with stylus support",i7,16,512.0,Intel UHD Graphics,Windows 11,1.5,32.2 x 21 x 1.99 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-x360-14-ek1047tu-i7-1355u,HP,HP Pavilion X360 14-ek1047TU i7 1355U,Core i7,1355U,14,1920 x 1080 Pixels,IPS,0,IPS,X360 14-ek1047TU i7 1355U
"Laptop Lenovo ThinkPad E14 Gen 5 i7-1355U/16GB/512GB/14.0""WUXGA/Win 11 (No.00907725)",24990000.0,25490000.0,"14 inch, 1920 x 1080 Pixels, IPS, 60, 300 nits, Anti-glare LED Backlit Ultra Slim Chính:",i7,16,512.0,Intel Iris Xe Graphics,Windows 11,1.5,324 x 220 x 18.9 mm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkpad-e14-gen-5-i7-1355u,Lenovo,Lenovo ThinkPad E14 Gen 5 i7-1355U,Core i7,1355U,14,1920 x 1080 Pixels,IPS,60,300 nits,E14 Gen 5 i7-1355U
"Laptop Asus TUF Gaming FA507NU-LP131W R5 7535HS/16GB/1TB/15.6"" FHD/Nvidia RTX4050 6GB//Win11 (No.00907105)",26990000.0,26990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144, 250 nits, FHD",Ryzen 5,16,1024.0,NVIDIA GeForce RTX 4050 6GB GDDR6; AMD Radeon Graphics,Windows 11,2.2,35.4 x 25.1 x 2.24 ~ 2.49 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fa507nu-lp131w-r5-7535hs,Asus,Asus TUF Gaming FA507NU-LP131W R5 7535HS,Ryzen 5,7535HS,15.6,1920 x 1080 Pixels,IPS,144,250 nits,Gaming FA507NU-LP131W R5 7535HS
Laptop Asus Zenbook 14 OLED UM3402YA-KM405W R5 7430U/16GB/512GB/14'' 2.8K/Win11 (No.00907109),23990000.0,23990000.0,"14 inch, 2880 x 1800 Pixels, OLED, 90, OLED",Ryzen 5,16,512.0,AMD Radeon Graphics,Windows 11,1.3,31.36 x 22.06 x 1.69 cm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-14-oled-um3402ya-km405w-r5-7430u,Asus,Asus Zenbook 14 OLED UM3402YA-KM405W R5 7430U,Ryzen 5,7430U,14,2880 x 1800 Pixels,OLED,90,OLED,14 OLED UM3402YA-KM405W R5 7430U
"Laptop Asus Vivobook A1505VA-L1201W i9 13900H/16GB/512GB/15.6""OLED/Win11 (No.00904507)",23990000.0,23990000.0,"15.6 inch, 1920 x 1080 Pixels, OLED, 60 Hz, OLED",i9,16,512.0,,Windows 11,1.7,35.68 x 22.76 x 1.99 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a1505va-l1201w-i9-13900h,Asus,Asus Vivobook A1505VA-L1201W i9 13900H,Core i9,13900H,15.6,1920 x 1080 Pixels,OLED,60,OLED,A1505VA-L1201W i9 13900H
Laptop HP Pavilion X360 14-ek1049TU i5 1335U/16GB/512GB/14''FHD Touch/Win11 (No.00907389),24190000.0,24190000.0,"14 inch, 1920 x 1080 Pixels, IPS, 0, IPS, edge-to-edge glass, with stylus support",i5,16,512.0,Intel UHD Graphics,Windows 11,1.5,32.2 x 21 x 1.99 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-x360-14-ek1049tu-i5-1335u,HP,HP Pavilion X360 14-ek1049TU i5 1335U,Core i5,1335U,14,1920 x 1080 Pixels,IPS,0,IPS,X360 14-ek1049TU i5 1335U
"Laptop Asus Vivobook A1505VA-L1491W i7 13700H/16GB/512GB/15.6""OLED/Win11 (No.00907394)",22990000.0,22990000.0,"15.6 inch, 1920 x 1080 Pixels, OLED, 60, OLED",i7,16,512.0,Intel Iris Xe Graphics,Windows 11,1.7,35.68 x 22.76 x 1.99 ~ 1.99 cm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a1505va-l1491w-i7-13700h,Asus,Asus Vivobook A1505VA-L1491W i7 13700H,Core i7,13700H,15.6,1920 x 1080 Pixels,OLED,60,OLED,A1505VA-L1491W i7 13700H
Laptop Asus Zenbook 14 OLED UM3402YA-KM405W R5 7530U/16GB/512GB/14'' 2.8K/Win11 (No.00907113),22990000.0,22990000.0,"14 inch, 2880 x 1800 Pixels Màn hình chính:, OLED, 90, OLED",Ryzen 5,16,512.0,AMD Radeon Graphics,Windows 11,1.3,31.36 x 22.06 x 1.69 cm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-14-oled-um3402ya-km405w-r5-7530u,Asus,Asus Zenbook 14 OLED UM3402YA-KM405W R5 7530U,Ryzen 5,7530U,14,2880 x 1800 Pixels Màn hình chính:,OLED,90,OLED,14 OLED UM3402YA-KM405W R5 7530U
"Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H/16GB/512GB/14""WUXGA/OLED/Win 11 (No.00907595)",21990000.0,21990000.0,"14 inch, 1920 x 1200 Pixels, IPS, 60, 400 nits, OLED",Core Ultra 5,16,512.0,Intel Arc Graphics,Windows 11,1.4,312 x 221 x 16.9 mm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-5-14imh9-ultra-5-125h,Lenovo,Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H,Core Ultra 5,125H,14,1920 x 1200 Pixels,IPS,60,400 nits,Slim 5 14IMH9 Ultra 5 125H
"Laptop Acer Nitro V Gaming ANV15-51-53NE i5 13420H/16GB/512GB/15.6""FHD/RTX2050 4GB/Win11 (No.00907541)",23990000.0,23990000.0,"15.6 inch, FHD (1920 x 1080), IPS, 144, 250 nits, FHD",i5,16,512.0,NVIDIA Geforce RTX 2050 4GB; Intel UHD Graphics,Windows 11,2.1,362.3  x 239.89 x 22.9/26.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-v-gaming-anv15-51-53ne-i5-13420h,Acer,Acer Nitro V Gaming ANV15-51-53NE i5 13420H,Core i5,13420H,15.6,FHD (1920 x 1080),IPS,144,250 nits,V Gaming ANV15-51-53NE i5 13420H
"Laptop Lenovo Ideapad Slim 5 15IRU9 CORE 5_120U/32GB/512G/15.3""WUXGA/Win11 (No.00907744)",21990000.0,21990000.0,"15.3 inch, 1920 x 1200 Pixels, IPS, 60, Anti - Glare",Core 5,32,512.0,Intel Graphics,Windows 11,1.7,343.5 x 238.21 x 17.42 mm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-5-15iru9-core-5-120U,Lenovo,Lenovo Ideapad Slim 5 15IRU9 CORE 5_120U,Core 5,120U,15.3,1920 x 1200 Pixels,IPS,60,Anti - Glare,Slim 5 15IRU9 CORE 5_120U
"Laptop Lenovo IdeaPad Slim 5 14IMH9 U5-125H/16GB/512GB/14""WUXGA/OLED/Win 11 (No.00907727)",21490000.0,21990000.0,"14 inch, 1920 x 1200 Pixels, OLED, 60, 400 nits, OLED",Core Ultra 5,16,512.0,Intel Arc Graphics,Windows 11,1.4,312 x 221 x 16.9 mm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-5-14imh9-u5-125h,Lenovo,Lenovo IdeaPad Slim 5 14IMH9 U5-125H,Core Ultra 5,125H,14,1920 x 1200 Pixels,OLED,60,400 nits,Slim 5 14IMH9 U5-125H
"Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/16GB/512GB/15.6""FHD/RTX2050 4GB/Win11 (No.00907728)",21490000.0,21990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144, IPS FHD",i5,16,512.0,NVIDIA GeForce RTX 2050 4GB GDDR6,Windows 11,2.3,359.86 x 258.7 x 21.9-23.9 mm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx,Lenovo,Lenovo Gaming LOQ - 15IAX9 i5 12450HX,Core i5,12450HX,15.6,1920 x 1080 Pixels,IPS,144,IPS FHD,LOQ - 15IAX9 i5 12450HX
"Laptop Lenovo ThinkPad E15 Gen 4 R5-5625U/8GB/512GB/15.6""FHD/Win 11 (No.00849511)",21290000.0,21290000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 300 nits, FHD",Ryzen 5,8,512.0,AMD Radeon Graphics,Windows 11,1.7,365 x 240 x 18.9 mm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkpad-e15-gen-4-r5-5625u,Lenovo,Lenovo ThinkPad E15 Gen 4 R5-5625U,Ryzen 5,5625U,15.6,1920 x 1080 Pixels,IPS,60,300 nits,E15 Gen 4 R5-5625U
"Laptop Acer Aspire 5 A515-58P-71EJ i7 1355U/16GB/1T/15.6""FHD/Win11 (No.00907542)",20490000.0,20490000.0,"15.6 inch, FHD (1920 x 1080), IPS, 60, FHD",i7,16,1024.0,Intel Iris Xe Graphics,Windows 11,1.7,362.9  x 237.5 x 17.99 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-5-a515-58p-71ej-i7-1355u,Acer,Acer Aspire 5 A515-58P-71EJ i7 1355U,Core i7,1355U,15.6,FHD (1920 x 1080),IPS,60,FHD,5 A515-58P-71EJ i7 1355U
"Laptop Lenovo ThinkBook 16 G6 ABP R5-7530U/16GB/512GB/16"" WUXGA/Win 11 (No.00907743)",20290000.0,20290000.0,"16 inch, 2560 x 1600 Pixels, IPS, 60, Anti-Glare",Ryzen 5,16,512.0,AMD Radeon Graphics,Windows 11,1.7,356 x 253.5 x 17.5 mm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-16-g6-abp-r5-7530u,Lenovo,Lenovo ThinkBook 16 G6 ABP R5-7530U,Ryzen 5,7530U,16,2560 x 1600 Pixels,IPS,60,Anti-Glare,16 G6 ABP R5-7530U
"Laptop HP 15-fd0235TU i5 1334U/16GB/512GB SSD/15.6""FHD//Win11 (No.00906462)",19590000.0,19590000.0,"15.6 inch, 1920 x 1080 Pixels, SVA, 60, Anti-Glare",i5,16,512.0,Intel UHD Graphics,Windows 11,1.5,35.98 x 23.6 x 1.86 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-15-fd0235tu-i5-1334u,HP,HP 15-fd0235TU i5 1334U,Core i5,1334U,15.6,1920 x 1080 Pixels,SVA,60,Anti-Glare,i5 1334U
"Laptop Asus TUF Gaming A15 FA506NC-HN011W R5 7535HS/8GB/ 512GB/15.6"" FHD/Nvidia RTX3050 4GB/Win11 (No.00906608)",21990000.0,21990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144, Anti - Glare",Ryzen 5,8,512.0,NVIDIA GeForce RTX 3050 4GB; AMD Radeon Graphics,Windows 11,2.3,35.9 x 25.6 x 2.28 ~ 2.45 cm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-a15-fa506nc-hn011w-r5-7535hs,Asus,Asus TUF Gaming A15 FA506NC-HN011W R5 7535HS,Ryzen 5,7535HS,15.6,1920 x 1080 Pixels,IPS,144,Anti - Glare,Gaming A15 FA506NC-HN011W R5 7535HS
"Laptop HP 15-fd0237TU i5 1334U/8GB/512GB/15.6""FHD/Win 11 (No.00906461)",18790000.0,18790000.0,"15.6 inch, 1920 x 1080 Pixels, SVA, 60, Anti-Glare",i5,8,512.0,Intel UHD Graphics,Windows 11,1.5,35.98 x 23.6 x 1.86 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-15-fd0237tu-i5-1334u,HP,HP 15-fd0237TU i5 1334U,Core i5,1334U,15.6,1920 x 1080 Pixels,SVA,60,Anti-Glare,i5 1334U
Laptop HP 14-ep0112TU i5 1335U/16GB/512GB/14''FHD/Win11 (No.00907390),19590000.0,19590000.0,"14 inch, 1920 x 1080 Pixels, SVA, 0, Anti-glare Micro-edge WLED-backlit",i5,16,512.0,Intel Iris Xe Graphics,Windows 11,1.4,32.37 x 21.5 x 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-14-ep0112tu-i5-1335u,HP,HP 14-ep0112TU i5 1335U,Core i5,1335U,14,1920 x 1080 Pixels,SVA,0,Anti-glare Micro-edge WLED-backlit,i5 1335U
"Laptop MSI Gaming Thin 15 B12UCX-1419VN i5-12450H/8GB/512GB/15.6""FHD/RTX2050_4GB/Win11_Balo (No.00907722)",17990000.0,17990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144, 250 nits, FHD",i5,8,512.0,NVIDIA Geforce RTX 2050 4GB,Windows 11,1.8,359 x 254 x 21.7 mm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-thin-15-b12ucx-1419vn-i5-12450h,MSI,MSI Gaming Thin 15 B12UCX-1419VN i5-12450H,Core i5,12450H,15.6,1920 x 1080 Pixels,IPS,144,250 nits,Thin 15 B12UCX-1419VN i5-12450H
Laptop Asus TUF Gaming A15 FA506NF-HN005W R5 7535HS/8GB/512GB/15.6'' FHD/Nvidia RTX2050 4GB/Win11 (No.00907526),19990000.0,19990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144, Anti-Glare",Ryzen 5,8,512.0,NVIDIA GeForce RTX 2050 4GB GDDR6; AMD Radeon Graphics,Windows 11,2.3,35.9 x 25.6 x 2.28 ~ 2.45 cm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-a15-fa506nf-hn005w-r5-7535hs,Asus,Asus TUF Gaming A15 FA506NF-HN005W R5 7535HS,Ryzen 5,7535HS,15.6,1920 x 1080 Pixels,IPS,144,Anti-Glare,Gaming A15 FA506NF-HN005W R5 7535HS
"Laptop MSI Modern 15 B12MO-487VN i7 1255U/16GB/512GB/15.6"" FHD/Win11 (No.00884856)",19490000.0,19490000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 300 nits, IPS",i7,16,512.0,Intel Iris Xe Graphics,Windows 11,1.7,359 * 241 * 19.9* mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-15-b12mo-487vn-i7-1255u,MSI,MSI Modern 15 B12MO-487VN i7 1255U,Core i7,1255U,15.6,1920 x 1080 Pixels,IPS,60,300 nits,15 B12MO-487VN i7 1255U
"Laptop Lenovo Ideapad Flex 5 14ALC7 R7 5700U/16GB/512GB/14.0""WUXGA_Touch/Bút/Win 11 (No.00906629)",16990000.0,16990000.0,"14 inch, 1920 x 1200 Pixels, IPS, 60, 300 nits, Anti-Glare LED-Backlit Display",Ryzen 7,16,512.0,AMD Radeon Graphics,Windows 11,1.5,313.1 x 224.9 x 17.8 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-flex-5-14alc7-r7-5700u,Lenovo,Lenovo Ideapad Flex 5 14ALC7 R7 5700U,Ryzen 7,5700U,14,1920 x 1200 Pixels,IPS,60,300 nits,Flex 5 14ALC7 R7 5700U
"Laptop Lenovo Ideapad Flex 5 14ALC7 R5 5500U/16GB/512GB/14.0""WUXGA/Touch/Bút/Win 11 (No.00906630)",14990000.0,14990000.0,"14 inch, 1920 x 1200 Pixels, IPS, 60, 300 nits, Anti-Glare LED-Backlit Display",Ryzen 5,16,512.0,AMD Radeon Graphics,Windows 11,1.5,313.1 x 224.9 x 17.8 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-flex-5-14alc7-r5-5500u,Lenovo,Lenovo Ideapad Flex 5 14ALC7 R5 5500U,Ryzen 5,5500U,14,1920 x 1200 Pixels,IPS,60,300 nits,Flex 5 14ALC7 R5 5500U
"Laptop HP 15s-fq5231TU i3-1215U/8GB/256GB/15.6""FHD/Win11_8U241PA (No.00907713)",11990000.0,11990000.0,,,,,,Windows 11,,,,,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq5231tu-i3-1215u,HP,HP 15s-fq5231TU i3-1215U,,,,,,,,i3-1215U
