Title,Price sale,Price origin,Screen,CPU,Ram,Storage,Graphics,Operating system,Weight,Dimensions,Origin,Year,"urlre""",Brand,Name,CPU_Model,CPU_Code,Screen size,Resolution,Panel_Type,Refresh_Rate,Brightness,Product
"Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/12GB/512GB/15.6""FHD/RTX3050 6GB/Win11 (No.00906624)",19790000.0,22990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144, 300 nits, Anti -glare LED-Backlit Display",i5,12,512.0,NVIDIA GeForce RTX 3050 6GB,Windows 11,2.3,359.86 x 258.7 x 21.9-23.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-12gb-rtx3050,Lenovo,Lenovo Gaming LOQ - 15IAX9 i5 12450HX,Core i5,12450HX,15.6,1920 x 1080 Pixels,IPS,144,300 nits,LOQ - 15IAX9 i5 12450HX
"Laptop Lenovo Ideapad Gaming 3 15ARH7 R5 7535HS/8GB/512GB/15.6""FHD/Nvidia RTX 4050 6GB/Win11 (No.00892738)",25990000.0,25990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 120 Hz, 250 nits, Anti - Glare",Ryzen 5,8,512.0,NVIDIA GeForce RTX 4050 6GB GDDR6,Windows 11,2.3,359.6 x 266.4 x 21.8 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-gaming-3-15arh7-r5-7535hs,Lenovo,Lenovo Ideapad Gaming 3 15ARH7 R5 7535HS,Ryzen 5,7535HS,15.6,1920 x 1080 Pixels,IPS,120,250 nits,Gaming 3 15ARH7 R5 7535HS
"Laptop HP Pavilion 14-dv2072TU i7 1255U/8GB/512GB/14""FHD/Win11 (No.00888670)",23890000.0,23890000.0,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, Anti - Glare",i7,8,512.0,,Windows 11,1.4,32.5 x 21.66 x 1.7 cm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-14-dv2072tu-i7-1255u,HP,HP Pavilion 14-dv2072TU i7 1255U,Core i7,1255U,14.0,1920 x 1080 Pixels,IPS,60,Anti - Glare,14-dv2072TU i7 1255U
Laptop HP Pavilion 15-eg3111TU i5 1335U/16GB/512GB/15.6''FHD/Win11 (No.00900042),21290000.0,21290000.0,"15.6 inch, FHD (1920 x 1080), IPS, Hãng không công bố Hz, LCD",i5,16,512.0,,Windows 11,1.6,36.02 x 23.4 x 1.8 (W x D x H) cm,Việt Nam / Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-15-eg3111tu-i5-1335u,HP,HP Pavilion 15-eg3111TU i5 1335U,Core i5,1335U,15.6,FHD (1920 x 1080),IPS,Hãn,LCD,15-eg3111TU i5 1335U
"Laptop Asus TUF Gaming FX517ZC-HN077W i5 12450H/8GB/512GB/15.6""FHD/GeForce RTX 3050 4GB/Win 11 (No.00800822)",18490000.0,23990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 250 nits, Anti-glare LED-backlit",i5,8,512.0,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,Windows 11,2,354 x 251 x 19.9 mm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx517zc-hn077w-i5-12450h,Asus,Asus TUF Gaming FX517ZC-HN077W i5 12450H,Core i5,12450H,15.6,1920 x 1080 Pixels,IPS,144,250 nits,Gaming FX517ZC-HN077W i5 12450H
MacBook Air 13 inch M1 2020 8CPU 7GPU 8GB/256GB (No.00725093),18490000.0,22990000.0,"13.3 inch, 2560 x 1600 Pixels, IPS, IPS LCD LED Backlit, True Tone",,8,256.0,Apple M1 GPU 7 nhân,Mac,1.2,304.1 x 212.4 x 4.1 ~ 16.1 mm,Trung Quốc,2020,https://fptshop.com.vn/may-tinh-xach-tay/macbook-air-13-2020-m1-256gb,Mac,Air 13 inch M1 2020 8CPU 7GPU 8GB,M1,,13.3,2560 x 1600 Pixels,IPS,IPS,True Tone,inch M1 2020 8CPU 7GPU 8GB
"Laptop Lenovo IdeaPad Slim 5 14IRL8 i5 13500H/16GB/1TB/14""WUXGA/OLED/Win11 (No.00906626)",18490000.0,20990000.0,"14 inch, 1920 x 1200 Pixels, OLED, 60, 400 nits, OLED",i5,16,1024.0,Intel Iris Xe Graphics,Windows 11,1.4,312 x 221 x 16.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-5-14irl8-i5-13500h?dung-luong=1tb,Lenovo,Lenovo IdeaPad Slim 5 14IRL8 i5 13500H,Core i5,13500H,14,1920 x 1200 Pixels,OLED,60,400 nits,Slim 5 14IRL8 i5 13500H
"Laptop Acer Gaming Aspire 5 A515-58GM-59QZ i5 13420H/32GB/512GB/15.6""FHD/Nvidia RTX 2050 4GB/Win11 (No.00905227)",22990000.0,22990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, FHD",i5,32,512.0,NVIDIA Geforce RTX 2050 4GB; Intel UHD Graphics,Windows 11,1.7,361 x 237 x 17.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/acer-gaming-aspire-5-a515-58gm-59qz-i5-13420h,Acer,Acer Gaming Aspire 5 A515-58GM-59QZ i5 13420H,Core i5,13420H,15.6,1920 x 1080 Pixels,IPS,60,FHD,Aspire 5 A515-58GM-59QZ i5 13420H
"Laptop Gigabyte Gaming A5 K1-AVN1030SB R5 5600H/8GB/512GB/15.6""FHD/Nvidia RTX 3060 6GB/Win11 (No.00882605)",17490000.0,19990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Anti - Glare",Ryzen 5,8,512.0,NVIDIA GeForce RTX 3060 6GB; AMD Radeon RX Graphics Vega 7,Windows 11,2.1,361 x 258 x 25.3 mm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-a5-k1-avn1030sb-r5-5600h,Gigabyte,Gigabyte Gaming A5 K1-AVN1030SB R5 5600H,Ryzen 5,5600H,15.6,1920 x 1080 Pixels,IPS,144,Anti - Glare,A5 K1-AVN1030SB R5 5600H
"Laptop Lenovo ThinkBook 15 G5 ABP R5 7530U/16GB/512GB/15.6""FHD/Win 11 (No.00904952)",18690000.0,18690000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 300 nits, Anti - Glare",Ryzen 5,16,512.0,AMD Radeon Graphics,Windows 11,1.7,357 x 235 x 18.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-15-g5-r5-7530u,Lenovo,Lenovo ThinkBook 15 G5 ABP R5 7530U,Ryzen 5,7530U,15.6,1920 x 1080 Pixels,IPS,60,300 nits,15 G5 ABP R5 7530U
