Price sale,Price origin,CPU,Ram,Storage,Screen size,Operating system,URL,Title,dec,Brand,Name
59990000.0,59990000.0,"Ultra 5 125H, RAM 16GB, SSD 2TB, Vga Intel Arc Graphics, Màn Hình 13.4inch FHD+, Windows 11, Office, Màu Bạc)",16.0,2048.0,13.4,Windows 11,https://philong.com.vn/laptop-dell-xps-13-plus-9340-xpsu5002w1.html,Laptop Dell XPS 13 Plus 9340 XPSU5002W1,"Ultra 5 125H, RAM 16GB, SSD 2TB, Vga Intel Arc Graphics, Màn Hình 13.4inch FHD+, Windows 11, Office, Màu Bạc)",Dell,XPS 13 Plus 9340 XPSU5002W1
18490000.0,21290000.0,8C5L4PA),8,256,15,Windows 11,https://philong.com.vn/laptop-hp-pavilion-15-eg3093tu-8c5l4pa-core-i5-1335u.html,Laptop HP Pavilion 15-eg3093TU,8C5L4PA),HP,Pavilion 15-eg3093TU
15690000.0,16990000.0,i5,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-van-phong-dell-vostro-v3520-i5u165w11gru.html,Laptop Dell Vostro V3520-i5U165W11GRU,"Intel Core i5-1235U, RAM 16GB, SSD 512GB, Màn Hình 15.6 inch FHD, Windows 11, Office, Màu Xám)",Dell,Vostro V3520-i5U165W11GRU
14590000.0,16190000.0,I5610,8,256,15,Windows 11,https://philong.com.vn/laptop-dell-vostro-v3520-v5i5610w1.html,Laptop Dell Vostro V3520,V5I5610W1),Dell,Vostro V3520
50990000.0,51990000.0,i7,16.0,1024.0,16,Windows 11,https://philong.com.vn/laptop-gaming-predator-helios-neo-16-phn16-72-71um.html,Laptop Gaming Predator Helios Neo 16 PHN16-72-71UM,"Core i7-14700HX, RAM 16GB DDR5, SSD 1TB, Màn Hình 16inch WQXGA IPS 240Hz, RTX4070 8GB GDDR6, Windows 11)",Gaming,Predator Helios Neo 16 PHN16-72-71UM
45990000.0,45990000.0,i7,8.0,1024.0,16,Windows 11,https://philong.com.vn/laptop-msi-creator-m16-hx-c14vfg-040vn.html,Laptop MSI Creator M16 HX C14VFG-040VN,"Core i7-14700HX, RTX 4060 8GB, RAM 32GB DDR5, SSD 1TB, Màn Hình 16 inch IPS QHD+ 240Hz, Windows 11)",MSI,Creator M16 HX C14VFG-040VN
94990000.0,94990000.0,Core Ultra 9,32.0,2048.0,18,Windows 11,https://philong.com.vn/laptop-msi-stealth-18-ai-studio-a1vhg-025vn.html,Laptop MSI Stealth 18 AI Studio A1VHG 025VN,"Core Ultra 9-185H, RAM 32GB DDR5, SSD 2TB, VGA RTX 4080 12GB, Màn Hình 18inch UHD 4K MiniLED IPS, 100% DCI-P3 & 120Hz, Windows 11)",MSI,Stealth 18 AI Studio A1VHG 025VN
149990000.0,149990000.0,i9,16.0,4096.0,18,Windows 11,https://philong.com.vn/laptop-gaming-msi-titan-18hx-a14vi-205vn.html,Laptop Gaming MSI Titan 18HX A14VI 205VN,"Core i9 14900HX, RTX 4090 16GB, RAM 128GB DDR5, SSD 4TB, Màn hình 18inch UHD 120Hz IPS, Windows 11 )",Gaming,MSI Titan 18HX A14VI 205VN
64990000.0,64990000.0,Core Ultra 9,8.0,2048.0,16,Windows 11,https://philong.com.vn/laptop-gaming-msi-stealth-16-ai-studio-a1vgg-089vn.html,Laptop Gaming MSI Stealth 16 AI Studio A1VGG-089VN,"Core Ultra 9 185H, RTX 4070 8GB, Ram 32GB DDR5, SSD 2TB, Màn Hình 16inch IPS 240Hz QHD+, Windows 11 Home)",Gaming,MSI Stealth 16 AI Studio A1VGG-089VN
109990000.0,109990000.0,Core Ultra 9,64.0,2048.0,16,Windows 11,https://philong.com.vn/laptop-msi-creator-16-ai-studio-a1vig-078vn.html,Laptop MSI Creator 16 AI Studio A1VIG 078VN,"Core Ultra 9-185H, RAM 64GB DDR5, SSD 2TB, VGA RTX 4090 16GB, Màn Hình 16inch UHD+ 4K MiniLED IPS, Touch cảm ứng & 120Hz, Windows 11 Bản Quyền)",MSI,Creator 16 AI Studio A1VIG 078VN
89990000.0,89990000.0,Core Ultra 9,64.0,256,16.0,Windows 11,https://philong.com.vn/laptop-msi-creator-16-ai-studio-a1vhg-079vn.html,Laptop MSI Creator 16 AI Studio A1VHG 079VN,"Core Ultra 9-185H, RAM 64GB, 2TB SSD, RTX 4080 12GB, Màn Hình 16.0inch UHD+, Windows 11)",MSI,Creator 16 AI Studio A1VHG 079VN
